2024-06-15 23:23:01 | ERROR | c.e.m.security.AuthTokenFilter | TOKEN: 
2024-06-15 23:23:01 | INFO  | c.e.m.security.AuthTokenFilter | Parsing JWT token...
2024-06-15 23:23:01 | INFO  | c.e.m.security.AuthTokenFilter | Getting Authorization header from request...
2024-06-15 23:23:01 | WARN  | c.e.m.security.AuthTokenFilter | Failed to find Bearer token in Authorization header!
2024-06-15 23:23:01 | INFO  | c.e.m.security.AuthTokenFilter | Validating JWT token...
2024-06-15 23:23:05 | ERROR | c.e.m.security.AuthTokenFilter | TOKEN: 
2024-06-15 23:23:05 | INFO  | c.e.m.security.AuthTokenFilter | Parsing JWT token...
2024-06-15 23:23:05 | INFO  | c.e.m.security.AuthTokenFilter | Getting Authorization header from request...
2024-06-15 23:23:05 | INFO  | c.e.m.security.AuthTokenFilter | Extracted Bearer token from Authorization header!
2024-06-15 23:23:05 | INFO  | c.e.m.security.AuthTokenFilter | Validating JWT token...
2024-06-15 23:23:05 | INFO  | c.e.m.security.AuthTokenFilter | Extracting username...
2024-06-15 23:23:05 | INFO  | c.e.m.security.AuthTokenFilter | Extracted username!
2024-06-15 23:23:05 | INFO  | c.e.m.security.AuthTokenFilter | Trying to authenticate user...
2024-06-15 23:23:05 | INFO  | c.e.m.security.AuthTokenFilter | Successfully authenticated user!
2024-06-15 23:23:58 | INFO  | o.s.o.j.LocalContainerEntityManagerFactoryBean | Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-15 23:23:58 | INFO  | com.zaxxer.hikari.HikariDataSource | HikariPool-1 - Shutdown initiated...
2024-06-15 23:23:58 | INFO  | com.zaxxer.hikari.HikariDataSource | HikariPool-1 - Shutdown completed.
